clip_id,rater_id,overall_mos,echo_annoyance_mos,nearend_naturalness_mos,acceptability_binary,confidence,headphone_passed,calibration_confirmed,submitted_at,system,item_uid,utt_id,scenario_bucket,task_type
hr_ce53f1b4ece506,returned_human_item_summary_v1,4.4,5.0,3.64,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,near_end_single_talk__e261cdf4019f72ed,fileid_197,near_end_single_talk,rating
hr_873e8f8fe761f1,returned_human_item_summary_v1,3.0,4.14,2.15,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,noisy_double_talk__c109889ca5a76e63,fileid_110,noisy_double_talk,rating
hr_92f443f8d0ebba,returned_human_item_summary_v1,2.4,3.46,1.76,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,noisy_double_talk__284efc673d120b17,fileid_137,noisy_double_talk,rating
hr_a3a14c1d28ac41,returned_human_item_summary_v1,3.39,3.2,3.13,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,double_talk__b3846f1d2835c8c0,doubletalk__f03ba73a__root__hUcOKoqv0Uavp33Xrf2uWQ_doubletalk,double_talk,rating
hr_4a019907df549c,returned_human_item_summary_v1,3.0,2.49,5.0,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,far_end_single_talk__351ae176aef5a986,farend-singletalk__eb6d9058__root__UAHwsB4iRUmm990YSJJOtg_farend-singletalk,far_end_single_talk,rating
hr_d6bd16b3f3668b,returned_human_item_summary_v1,3.77,4.51,3.21,1.0,3.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,far_end_single_talk__5578c650afd460ea,farend-singletalk__eb6d9058__root__3e6lVI5h9UeSlRekiZb9gw_farend-singletalk,far_end_single_talk,rating
hr_cbd7641937c4c1,returned_human_item_summary_v1,2.4,4.35,1.7,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,low_ser_overlap__3a8cd8291a2f1a57,fileid_432,low_ser_overlap,rating
hr_42e713d96f0564,returned_human_item_summary_v1,2.4,1.67,4.16,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,double_talk__e024e914b6b90bc5,doubletalk__f03ba73a__root__cdb9787d-c046-4ca1-9994-4161c27b0291_doubletalk,double_talk,rating
hr_2178085230c32d,returned_human_item_summary_v1,3.0,4.08,2.31,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,low_ser_overlap__e0d46cbd150da7bf,fileid_445,low_ser_overlap,rating
hr_90e489d6bc05fd,returned_human_item_summary_v1,2.4,1.81,4.98,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,far_end_single_talk__013d26421eefe63c,farend-singletalk__eb6d9058__root__f16e9c6e-e821-464d-b006-406d45bb9ada_farend-singletalk,far_end_single_talk,rating
