left_system,right_system,metric,n_items,mean_delta_left_minus_right,ci_low,ci_high,sign_test_p_two_sided
ASTWS public checkpoint transfer,ASTWS-H16k,overall_mos,72,-0.345,-0.5689409722222223,-0.11567708333333343,0.13603239487789212
ASTWS public checkpoint transfer,ASTWS-H16k,echo_annoyance_mos,72,-1.1479166666666667,-1.397951388888889,-0.9009583333333335,1.802802378388091e-08
ASTWS public checkpoint transfer,ASTWS-H16k,nearend_naturalness_mos,72,0.6088888888888889,0.4459375,0.7960069444444443,7.561280982396751e-07
ASTWS public checkpoint transfer,ASTWS-H16k,acceptability_binary,72,-0.18055555555555555,-0.3333333333333333,-0.027777777777777776,0.03508203336969018
ASTWS public checkpoint transfer,Deep Echo public checkpoint transfer,overall_mos,72,-0.20625,-0.3904375,-0.03373958333333338,0.6587380770236564
ASTWS public checkpoint transfer,Deep Echo public checkpoint transfer,echo_annoyance_mos,72,-0.9019444444444444,-1.0977847222222223,-0.7194444444444444,1.1008055578187737e-11
ASTWS public checkpoint transfer,Deep Echo public checkpoint transfer,nearend_naturalness_mos,72,0.6972222222222222,0.5176284722222222,0.891673611111111,4.461782054931973e-10
ASTWS public checkpoint transfer,Deep Echo public checkpoint transfer,acceptability_binary,72,-0.09722222222222222,-0.2222222222222222,0.027777777777777776,0.18924713134765625
ASTWS public checkpoint transfer,NLMS,overall_mos,72,-0.059861111111111094,-0.2894652777777777,0.14709722222222218,0.17700136477035816
ASTWS public checkpoint transfer,NLMS,echo_annoyance_mos,72,-0.7644444444444445,-0.9888888888888889,-0.5553784722222224,7.513043097095995e-07
ASTWS public checkpoint transfer,NLMS,nearend_naturalness_mos,72,0.8331944444444445,0.6238125,1.0515416666666666,7.053979622639872e-11
ASTWS public checkpoint transfer,NLMS,acceptability_binary,72,0.0,-0.1527777777777778,0.1527777777777778,1.0
ASTWS public checkpoint transfer,SC-AEC-Echo,overall_mos,72,0.04569444444444447,-0.15459027777777773,0.23320486111111108,0.4426260049464714
ASTWS public checkpoint transfer,SC-AEC-Echo,echo_annoyance_mos,72,-1.1694444444444445,-1.3856180555555555,-0.9533125000000001,3.0655256978706635e-12
ASTWS public checkpoint transfer,SC-AEC-Echo,nearend_naturalness_mos,72,1.1952777777777779,0.9659131944444445,1.4315381944444443,5.765519304519332e-12
ASTWS public checkpoint transfer,SC-AEC-Echo,acceptability_binary,72,0.0,-0.13923611111111112,0.1388888888888889,1.0
ASTWS public checkpoint transfer,SC-AEC-Preserve,overall_mos,72,-0.07208333333333332,-0.2568055555555555,0.11461805555555535,0.798152627305718
ASTWS public checkpoint transfer,SC-AEC-Preserve,echo_annoyance_mos,72,-1.1344444444444446,-1.3450798611111112,-0.9211111111111111,6.144390551909851e-15
ASTWS public checkpoint transfer,SC-AEC-Preserve,nearend_naturalness_mos,72,1.058888888888889,0.8429965277777779,1.2686840277777776,4.181227909275131e-11
ASTWS public checkpoint transfer,SC-AEC-Preserve,acceptability_binary,72,-0.041666666666666664,-0.19444444444444445,0.09722222222222222,0.711071103811264
ASTWS-H16k,Deep Echo public checkpoint transfer,overall_mos,72,0.13874999999999998,0.005124999999999996,0.2731944444444444,0.20736789985685422
ASTWS-H16k,Deep Echo public checkpoint transfer,echo_annoyance_mos,72,0.24597222222222226,0.1175000000000001,0.3801423611111111,0.00013451408092849532
ASTWS-H16k,Deep Echo public checkpoint transfer,nearend_naturalness_mos,72,0.08833333333333329,-0.061256944444444496,0.23903124999999997,0.7035366713552734
ASTWS-H16k,Deep Echo public checkpoint transfer,acceptability_binary,72,0.08333333333333333,-0.027777777777777776,0.20833333333333334,0.237884521484375
ASTWS-H16k,NLMS,overall_mos,72,0.2851388888888889,0.12706597222222227,0.45653125,0.04635347433291122
ASTWS-H16k,NLMS,echo_annoyance_mos,72,0.38347222222222227,0.2322083333333334,0.539170138888889,4.223704562267977e-05
ASTWS-H16k,NLMS,nearend_naturalness_mos,72,0.22430555555555554,0.04508680555555558,0.3954340277777777,0.20736789985685422
ASTWS-H16k,NLMS,acceptability_binary,72,0.18055555555555555,0.06944444444444445,0.3055555555555556,0.004425048828125
ASTWS-H16k,SC-AEC-Echo,overall_mos,72,0.39069444444444446,0.2619409722222223,0.5326527777777778,0.0012635594724354632
ASTWS-H16k,SC-AEC-Echo,echo_annoyance_mos,72,-0.021527777777777733,-0.14333333333333326,0.10045833333333315,1.0
ASTWS-H16k,SC-AEC-Echo,nearend_naturalness_mos,72,0.5863888888888888,0.41679861111111105,0.7595104166666664,8.14003082672391e-06
ASTWS-H16k,SC-AEC-Echo,acceptability_binary,72,0.18055555555555555,0.09722222222222222,0.2777777777777778,0.000244140625
ASTWS-H16k,SC-AEC-Preserve,overall_mos,72,0.2729166666666667,0.15109722222222222,0.3915381944444444,0.007508175534150202
ASTWS-H16k,SC-AEC-Preserve,echo_annoyance_mos,72,0.013472222222222215,-0.11417013888888894,0.14000347222222215,0.2450608330229457
ASTWS-H16k,SC-AEC-Preserve,nearend_naturalness_mos,72,0.45,0.3091388888888889,0.5900069444444443,1.6464300115968573e-07
ASTWS-H16k,SC-AEC-Preserve,acceptability_binary,72,0.1388888888888889,0.041666666666666664,0.2361111111111111,0.012939453125
Deep Echo public checkpoint transfer,NLMS,overall_mos,72,0.1463888888888889,0.002222222222222242,0.29793055555555553,0.4708790136217118
Deep Echo public checkpoint transfer,NLMS,echo_annoyance_mos,72,0.1375,-0.015704861111111076,0.28062847222222187,0.04404654610215078
Deep Echo public checkpoint transfer,NLMS,nearend_naturalness_mos,72,0.13597222222222224,-0.03209722222222219,0.30513888888888885,0.18392482137699062
Deep Echo public checkpoint transfer,NLMS,acceptability_binary,72,0.09722222222222222,0.0,0.19444444444444445,0.11846923828125
Deep Echo public checkpoint transfer,SC-AEC-Echo,overall_mos,72,0.25194444444444447,0.1058263888888889,0.40057291666666656,0.14800580076020597
Deep Echo public checkpoint transfer,SC-AEC-Echo,echo_annoyance_mos,72,-0.26749999999999996,-0.4094479166666667,-0.13053819444444448,4.8175233992660445e-06
Deep Echo public checkpoint transfer,SC-AEC-Echo,nearend_naturalness_mos,72,0.4980555555555556,0.3238645833333334,0.6740763888888888,7.555811484431396e-05
Deep Echo public checkpoint transfer,SC-AEC-Echo,acceptability_binary,72,0.09722222222222222,-0.013888888888888888,0.20833333333333334,0.143463134765625
Deep Echo public checkpoint transfer,SC-AEC-Preserve,overall_mos,72,0.13416666666666668,0.0008263888888889074,0.2701423611111111,0.6834892282353375
Deep Echo public checkpoint transfer,SC-AEC-Preserve,echo_annoyance_mos,72,-0.23250000000000004,-0.3769687500000001,-0.08193402777777793,0.0008617822405421263
Deep Echo public checkpoint transfer,SC-AEC-Preserve,nearend_naturalness_mos,72,0.3616666666666667,0.20360763888888894,0.5300104166666666,0.007620521855025697
Deep Echo public checkpoint transfer,SC-AEC-Preserve,acceptability_binary,72,0.05555555555555555,-0.041666666666666664,0.1527777777777778,0.4239501953125
NLMS,SC-AEC-Echo,overall_mos,72,0.10555555555555557,-0.03876388888888886,0.24501736111111103,0.34089094122009733
NLMS,SC-AEC-Echo,echo_annoyance_mos,72,-0.40499999999999997,-0.5757048611111112,-0.22080208333333348,1.2143807700186297e-06
NLMS,SC-AEC-Echo,nearend_naturalness_mos,72,0.36208333333333337,0.1679166666666667,0.55528125,0.04437092000802569
NLMS,SC-AEC-Echo,acceptability_binary,72,0.0,-0.09722222222222222,0.09722222222222222,1.0
NLMS,SC-AEC-Preserve,overall_mos,72,-0.012222222222222218,-0.16709027777777777,0.137815972222222,1.0
NLMS,SC-AEC-Preserve,echo_annoyance_mos,72,-0.37000000000000005,-0.5705590277777778,-0.18303819444444458,1.2416282261784595e-06
NLMS,SC-AEC-Preserve,nearend_naturalness_mos,72,0.22569444444444445,0.035680555555555576,0.4165624999999998,0.2819789217936561
NLMS,SC-AEC-Preserve,acceptability_binary,72,-0.041666666666666664,-0.1388888888888889,0.05555555555555555,0.5810546875
SC-AEC-Echo,SC-AEC-Preserve,overall_mos,72,-0.11777777777777779,-0.20653472222222222,-0.036385416666666684,0.27995623852893914
SC-AEC-Echo,SC-AEC-Preserve,echo_annoyance_mos,72,0.03499999999999995,-0.03736111111111112,0.09417013888888881,0.0031560602510210594
SC-AEC-Echo,SC-AEC-Preserve,nearend_naturalness_mos,72,-0.1363888888888889,-0.23449305555555555,-0.036107638888888904,0.02052693371370707
SC-AEC-Echo,SC-AEC-Preserve,acceptability_binary,72,-0.041666666666666664,-0.1111111111111111,0.027777777777777776,0.453125
